Log File,App Name,Third Party,Data Structure,Level
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,D
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Single Variable,E
com.gonoodle.gonoodle,goNoodle,N/A,Mixed,W
com.google.android.apps.youtube.kids,youtubeKids,N/A,URL,W
com.gotv.nflgamecenter.us.lite,nfl,N/A,Array,I
com.gotv.nflgamecenter.us.lite,nfl,N/A,Array,I
com.gotv.nflgamecenter.us.lite,nfl,N/A,Single Variable,D
com.gotv.nflgamecenter.us.lite,nfl,N/A,Single Variable,D
com.indeed.android.jobsearch,indeed,N/A,Single Variable,I
com.indeed.android.jobsearch,indeed,N/A,Single Variable,D
com.indeed.android.jobsearch,indeed,N/A,Single Variable,D
com.konylabs.capitalone,capitalOneMobile,N/A,URL,W
com.konylabs.capitalone,capitalOneMobile,Localytics,URL,W
com.konylabs.capitalone,capitalOneMobile,Localytics,URL,W
com.konylabs.capitalone,capitalOneMobile,Localytics,URL,W
com.konylabs.capitalone,capitalOneMobile,Localytics,Mixed,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,Localytics,Equation,D
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
com.konylabs.capitalone,capitalOneMobile,N/A,JSON,I
